Republican_percent,Republican_number,Democratic_percent,Democratic_number,State,year,President
57.62,572844,40.7,404614,MS,2000,George W. Bush
50.42,1189924,47.08,1111138,MO,2000,George W. Bush
58.44,240178,33.36,137126,MT,2000,George W. Bush
62.25,433862,33.25,231780,NE,2000,George W. Bush
49.52,301575,45.98,279978,NV,2000,George W. Bush
48.07,273559,46.8,266348,NH,2000,George W. Bush
40.29,1284173,56.13,1788850,NJ,2000,George W. Bush
47.85,286417,47.91,286783,NM,2000,George W. Bush
35.23,2403374,60.21,4107697,NY,2000,George W. Bush
56.03,1631163,43.2,1257692,NC,2000,George W. Bush
60.66,174852,33.06,95284,ND,2000,George W. Bush
49.97,2351209,46.46,2186190,OH,2000,George W. Bush
60.31,744337,38.43,474276,OK,2000,George W. Bush
46.52,713577,46.96,720342,OR,2000,George W. Bush
46.43,2281127,50.6,2485967,PA,2000,George W. Bush
31.91,130555,60.99,249508,RI,2000,George W. Bush
56.84,785937,40.9,565561,SC,2000,George W. Bush
60.3,190700,37.56,118804,SD,2000,George W. Bush
51.15,1061949,47.28,981720,TN,2000,George W. Bush
59.3,3799639,37.98,2433746,TX,2000,George W. Bush
66.83,515096,26.34,203053,UT,2000,George W. Bush
40.7,119775,50.63,149022,VT,2000,George W. Bush
52.47,1437490,44.44,1217290,VA,2000,George W. Bush
44.58,1108864,50.16,1247652,WA,2000,George W. Bush
51.92,336475,45.59,295497,WV,2000,George W. Bush
47.61,1237279,47.83,1242987,WI,2000,George W. Bush
67.76,147947,27.7,60481,WY,2000,George W. Bush
47.87,50456002,48.38,50999897,United States,2000,George W. Bush
62.46,1176394,36.84,693933,AL,2004,George W. Bush
61.07,190889,35.52,111025,AK,2004,George W. Bush
54.87,1104294,44.4,893524,AZ,2004,George W. Bush
54.31,572898,44.55,469953,AR,2004,George W. Bush
44.36,5509826,54.31,6745485,CA,2004,George W. Bush
51.69,1101255,47.02,1001732,CO,2004,George W. Bush
43.95,693826,54.31,857488,CT,2004,George W. Bush
45.75,171660,53.35,200152,DE,2004,George W. Bush
9.34,21256,89.18,202970,D.C.,2004,George W. Bush
52.1,3964522,47.09,3583544,FL,2004,George W. Bush
57.97,1914254,41.37,1366149,GA,2004,George W. Bush
45.26,194191,54.01,231708,HI,2004,George W. Bush
68.38,409235,30.26,181098,ID,2004,George W. Bush
44.48,2345946,54.82,2891550,IL,2004,George W. Bush
59.94,1479438,39.26,969011,IN,2004,George W. Bush
49.9,751957,49.23,741898,IA,2004,George W. Bush
62,736456,36.62,434993,KS,2004,George W. Bush
59.55,1069439,39.69,712733,KY,2004,George W. Bush
56.72,1102169,42.22,820299,LA,2004,George W. Bush
44.58,330201,53.57,396842,ME,2004,George W. Bush
42.93,1024703,55.91,1334493,MD,2004,George W. Bush
36.78,1071109,61.94,1803800,MA,2004,George W. Bush
47.81,2313746,51.23,2479183,MI,2004,George W. Bush
47.61,1346695,51.09,1445014,MN,2004,George W. Bush
59.45,684981,39.76,458094,MS,2004,George W. Bush
53.3,1455713,46.1,1259171,MO,2004,George W. Bush
59.07,266063,38.56,173710,MT,2004,George W. Bush
65.9,512814,32.68,254328,NE,2004,George W. Bush
50.47,418690,47.88,397190,NV,2004,George W. Bush
48.87,331237,50.24,340511,NH,2004,George W. Bush
46.24,1670003,52.92,1911430,NJ,2004,George W. Bush
49.84,376930,49.05,370942,NM,2004,George W. Bush
40.08,2962567,58.37,4314280,NY,2004,George W. Bush
56.02,1961166,43.58,1525849,NC,2004,George W. Bush
62.86,196651,35.5,111052,ND,2004,George W. Bush
50.81,2859768,48.71,2741167,OH,2004,George W. Bush
65.57,959792,34.43,503966,OK,2004,George W. Bush
47.19,866831,51.35,943163,OR,2004,George W. Bush
48.42,2793847,50.92,2938095,PA,2004,George W. Bush
38.67,169046,59.42,259765,RI,2004,George W. Bush
57.98,937974,40.9,661699,SC,2004,George W. Bush
59.91,232584,38.44,149244,SD,2004,George W. Bush
56.8,1384375,42.53,1036477,TN,2004,George W. Bush
61.09,4526917,38.22,2832704,TX,2004,George W. Bush
71.54,663742,26,241199,UT,2004,George W. Bush
38.8,121180,58.94,184067,VT,2004,George W. Bush
53.68,1716959,45.48,1454742,VA,2004,George W. Bush
45.64,1304894,52.82,1510201,WA,2004,George W. Bush
56.06,423778,43.2,326541,WV,2004,George W. Bush
49.32,1478120,49.7,1489504,WI,2004,George W. Bush
68.86,167629,29.07,70776,WY,2004,George W. Bush
50.73,62040610,48.27,59028444,United States,2004,George W. Bush
38.74,813479,60.32,1266546,AL,2008,Barack Obama
37.89,123594,59.42,193841,AK,2008,Barack Obama
45.12,1034707,53.64,1230111,AZ,2008,Barack Obama
38.86,422310,58.72,638017,AR,2008,Barack Obama
61.01,8274473,36.95,5011781,CA,2008,Barack Obama
