Republican_percent,Republican_votes,Democratic_percent,Democratic_votes,State,year,President
65.9,512814,32.68,254328,NE,2004,George W. Bush
50.47,418690,47.88,397190,NV,2004,George W. Bush
48.87,331237,50.24,340511,NH,2004,George W. Bush
46.24,1670003,52.92,1911430,NJ,2004,George W. Bush
49.84,376930,49.05,370942,NM,2004,George W. Bush
40.08,2962567,58.37,4314280,NY,2004,George W. Bush
56.02,1961166,43.58,1525849,NC,2004,George W. Bush
62.86,196651,35.5,111052,ND,2004,George W. Bush
50.81,2859768,48.71,2741167,OH,2004,George W. Bush
65.57,959792,34.43,503966,OK,2004,George W. Bush
47.19,866831,51.35,943163,OR,2004,George W. Bush
48.42,2793847,50.92,2938095,PA,2004,George W. Bush
38.67,169046,59.42,259765,RI,2004,George W. Bush
57.98,937974,40.9,661699,SC,2004,George W. Bush
59.91,232584,38.44,149244,SD,2004,George W. Bush
56.8,1384375,42.53,1036477,TN,2004,George W. Bush
61.09,4526917,38.22,2832704,TX,2004,George W. Bush
71.54,663742,26,241199,UT,2004,George W. Bush
38.8,121180,58.94,184067,VT,2004,George W. Bush
53.68,1716959,45.48,1454742,VA,2004,George W. Bush
45.64,1304894,52.82,1510201,WA,2004,George W. Bush
56.06,423778,43.2,326541,WV,2004,George W. Bush
49.32,1478120,49.7,1489504,WI,2004,George W. Bush
68.86,167629,29.07,70776,WY,2004,George W. Bush
50.73,62040610,48.27,59028444,United States,2004,George W. Bush
60.32,1266546,38.74,813479,AL,2008,Barack Obama
59.42,193841,37.89,123594,AK,2008,Barack Obama
53.64,1230111,45.12,1034707,AZ,2008,Barack Obama
58.72,638017,38.86,422310,AR,2008,Barack Obama
36.95,5011781,61.01,8274473,CA,2008,Barack Obama
44.71,1073629,53.66,1288633,CO,2008,Barack Obama
38.22,629428,60.59,997772,CT,2008,Barack Obama
36.95,152374,61.94,255459,DE,2008,Barack Obama
6.53,17367,92.46,245800,D.C.,2008,Barack Obama
48.22,4045624,51.03,4282074,FL,2008,Barack Obama
52.2,2048759,46.99,1844123,GA,2008,Barack Obama
26.58,120566,71.85,325871,HI,2008,Barack Obama
61.52,403012,36.09,236440,ID,2008,Barack Obama
36.78,2031179,61.92,3419348,IL,2008,Barack Obama
48.91,1345648,49.95,1374039,IN,2008,Barack Obama
44.39,682379,53.93,828940,IA,2008,Barack Obama
56.61,699655,41.65,514765,KS,2008,Barack Obama
57.4,1048462,41.17,751985,KY,2008,Barack Obama
58.56,1148275,39.93,782989,LA,2008,Barack Obama
40.38,295273,57.71,421923,ME,2008,Barack Obama
36.47,959862,61.92,1629467,MD,2008,Barack Obama
35.99,1108854,61.8,1904097,MA,2008,Barack Obama
40.96,2048639,57.43,2872579,MI,2008,Barack Obama
43.82,1275409,54.06,1573354,MN,2008,Barack Obama
56.18,724597,43,554662,MS,2008,Barack Obama
49.43,1445814,49.29,1441911,MO,2008,Barack Obama
49.51,242763,47.25,231667,MT,2008,Barack Obama
56.53,452979,41.6,333319,NE,2008,Barack Obama
42.65,412827,55.15,533736,NV,2008,Barack Obama
44.52,316534,54.13,384826,NH,2008,Barack Obama
41.7,1613207,57.27,2215422,NJ,2008,Barack Obama
41.78,346832,56.91,472422,NM,2008,Barack Obama
36.03,2752771,62.88,4804945,NY,2008,Barack Obama
49.38,2128474,49.7,2142651,NC,2008,Barack Obama
53.25,168601,44.62,141278,ND,2008,Barack Obama
